nodes, tasks, 80x64, 160x128, 320x256, 640x512, 1280x1024, 2560x2048, 5120x4096
1, 1,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1, 4,2.48,3.35,7.67,4.08,7.64,7.40,3.97
2, 16,0.29,0.02,1.10,0.96,1.79,6.44,1292.14
8, 64,0.01,0.04,0.61,9.42,6.73,25.48,662.94
16, 128,0.01,0.03,0.36,6.05,9.33,30.23,422.26
20, 160,0.01,0.04,0.33,5.58,11.25,66.92,285.67
