nodes, tasks, 80x64, 160x128, 320x256, 640x512, 1280x1024, 2560x2048, 5120x4096
1, 1,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1, 4,2.48,3.35,7.67,4.08,7.64,7.40,3.97
2, 16,0.14,0.01,0.55,0.48,0.89,3.22,646.07
8, 64,0.00,0.00,0.08,1.18,0.84,3.18,82.87
16, 128,0.00,0.00,0.02,0.38,0.58,1.89,26.39
20, 160,0.00,0.00,0.02,0.28,0.56,3.35,14.28
